"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"823106","occ","","","90578","Notidanodon sp.","genus","34528","","Notidanodon","genus","34528","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823108","occ","","","90578","Centrophorus sp.","genus","34538","","Centrophorus","genus","34538","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823109","occ","","","90578","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823110","occ","","","90578","Odontaspis cf. winkleri","species","132648","","Odontaspis winkleri","species","132648","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823112","occ","","","90578","Lamniformes indet.","order","34598","","Lamniformes","order","34598","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823114","occ","","","90579","Chlamydoselachus n. sp. keyesi","species","34523","species not entered","Chlamydoselachus","genus","34523","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823115","occ","","","90579","Notidanodon sp.","genus","34528","","Notidanodon","genus","34528","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823116","occ","","","90579","Heptranchias sp.","genus","34525","","Heptranchias","genus","34525","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823118","occ","","","90579","Pseudoechinorhinus mackinnoni","species","34556","species not entered","Pseudoechinorhinus","genus","34556","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823119","occ","","","90579","Centrophorus sp.","genus","34538","","Centrophorus","genus","34538","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823120","occ","","","90579","Megasqualus sp.","genus","34549","","Megasqualus","genus","34549","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823121","occ","","","90579","Centroselachus n. sp. goordi","species","151337","species not entered","Centroselachus","genus","151337","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823122","occ","","","90579","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823123","occ","","","90579","Brachycarcharias sp.","genus","151339","","Brachycarcharias","genus","151339","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823124","occ","","","90579","Odontaspis cf. winkleri","species","132648","","Odontaspis winkleri","species","132648","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823125","occ","","","90579","Odontaspididae indet.","family","63010","","Odontaspididae","family","63010","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823127","occ","","","90579","Lamniformes indet.","order","34598","","Lamniformes","order","34598","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823129","occ","","","90580","Centrophorus sp.","genus","34538","","Centrophorus","genus","34538","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823130","occ","","","90580","Dalatias sp.","genus","34542","","Dalatias","genus","34542","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823131","occ","","","90580","Centroselachus goordi","species","151337","species not entered","Centroselachus","genus","151337","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823132","occ","","","90580","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823133","occ","","","90580","Odontaspis cf. winkleri","species","132648","","Odontaspis winkleri","species","132648","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823136","occ","","","90581","Megasqualus sp.","genus","34549","","Megasqualus","genus","34549","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823137","occ","","","90581","Centroselachus goordi","species","151337","species not entered","Centroselachus","genus","151337","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823138","occ","","","90581","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823139","occ","","","90581","Odontaspis cf. winkleri","species","132648","","Odontaspis winkleri","species","132648","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823140","occ","","","90582","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823141","occ","","","90582","Odontaspis cf. winkleri","species","132648","","Odontaspis winkleri","species","132648","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823142","occ","","","90583","Brachycarcharias sp.","genus","151339","","Brachycarcharias","genus","151339","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823144","occ","","","90584","Pseudoechinorhinus mackinnoni","species","34556","species not entered","Pseudoechinorhinus","genus","34556","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823145","occ","","","90584","Centrophorus sp.","genus","34538","","Centrophorus","genus","34538","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823146","occ","","","90584","Centroselachus goordi","species","151337","species not entered","Centroselachus","genus","151337","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823147","occ","","","90584","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823148","occ","","","90584","Odontaspis cf. winkleri","species","132648","","Odontaspis winkleri","species","132648","Teurian","","66","55.8","30481","172.483337","-43.116669","NZ","","","based on nearby landmark","minutes","small collection","coordinate based on Mount Karetu because Karetu Downs is shown on map as about 1 km to the west"
"823149","occ","","","90585","Pseudoechinorhinus mackinnoni","species","34556","species not entered","Pseudoechinorhinus","genus","34556","Teurian","","66","55.8","30481","172.616669","-43.049999","NZ","","","based on nearby landmark","minutes","small collection","coordinate extrapolated northwards from Boby Stream, shown on map as about 2 km south of the ford"
"823229","occ","","","59175","Paracestracion n. sp. viohli","species","151550","","Paracestracion viohli","species","151550","Late Kimmeridgian","","155.7","150.8","30504","11.584697","48.918259","DE","Bayern","Eichstätt","estimated from map","6","outcrop","Stark family quarry, 1 km WNW of Schamaupten church, E part of Eichstätt district, in the Schambachtal (Schambach valley), southern Franconian Alb"
"823232","occ","","","90650","Notidanodon lanceolatus","species","151558","","Notidanodon lanceolatus","species","151557","Late Aptian","","122.46","112.03","30506","-122.583336","40.450001","US","California","Shasta","based on nearby landmark","minutes","small collection","""'Shoup Ranch Gulch'... a tributary of Bee Creek"" (coordinate based on Bee Creek)"
"823334","occ","","","90688","Notorynchus aptiensis","species","151685","recombined as","Gladioserratus aptiensis","species","151684","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823336","occ","","","90688","Orectolobiformes indet.","order","34573","","Orectolobiformes","order","34573","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823337","occ","","","90688","Archaeolamna sp.","genus","34601","","Archaeolamna","genus","34601","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823338","occ","","","90688","Leptostyrax sp.","genus","34616","","Leptostyrax","genus","34616","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823339","occ","","","90688","Cretoxyrhinidae indet.","family","63014","","Cretoxyrhinidae","family","63014","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823340","occ","","","90688","Cretolamna sp.","genus","34608","","Cretolamna","genus","34608","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823341","occ","","","90688","Paraisurus aff. compressus","species","151701","","Paraisurus compressus","species","151701","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823342","occ","","","90688","Carcharias striatula","species","151706","","Carcharias striatula","species","151703","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823343","occ","","","90688","Squalicorax primaevus","species","151708","","Squalicorax primaevus","species","151707","Albian","","113","100.5","30524","113.633331","-24.450001","AU","Western Australia","","based on nearby landmark","minutes","small collection","dam blocks Cardabia Creek (basis of coordinate)"
"823350","occ","","","90692","Hexanchidae indet.","family","83104","","Hexanchidae","family","83104","Late Pliensbachian","","189.6","183","30526","12.793333","55.975555","SE","Scania","","stated in text","seconds","small collection","""between the hamlets of Rya and Katslösa in northwestern Scania"""
"823538","occ","","","90730","Protosqualus glickmani","species","151818","","Protosqualus glickmani","species","151818","Late Albian","","105.3","99.6","30535","24.650000","55.066666","LT","","","based on nearby landmark","minutes","local area","""(Jonava area, confluence of the rivers Sventoji and Neris"" (coordinate based on Vareikia)"
"823539","occ","","","90731","Protosqualus glickmani","species","151818","","Protosqualus glickmani","species","151818","Late Cenomanian","","99.6","93.5","30535","23.900000","54.900002","LT","","","based on nearby landmark","minutes","local area","""along the River Nemunas"" near Kaunas (coordinate based on Kaunas)"
"823541","occ","","","90732","Protosqualus glickmani","species","151818","","Protosqualus glickmani","species","151818","Late Cenomanian","","99.6","93.5","30535","23.900000","54.900002","LT","","","based on nearby landmark","minutes","local area","""along the River Nemunas"" near Kaunas (coordinate based on Kaunas)"
"823542","occ","","","90732","Squalus sp.","genus","34562","","Squalus","genus","34562","Late Cenomanian","","99.6","93.5","30535","23.900000","54.900002","LT","","","based on nearby landmark","minutes","local area","""along the River Nemunas"" near Kaunas (coordinate based on Kaunas)"
"823543","occ","","","90732","Squaliodalatias sp.","genus","86145","","Squaliodalatias","genus","86145","Late Cenomanian","","99.6","93.5","30535","23.900000","54.900002","LT","","","based on nearby landmark","minutes","local area","""along the River Nemunas"" near Kaunas (coordinate based on Kaunas)"
"823544","occ","","","90732","n. gen. Procentrophorus n. sp. balticus","species","151829","","Procentrophorus balticus","species","151828","Late Cenomanian","","99.6","93.5","30535","23.900000","54.900002","LT","","","based on nearby landmark","minutes","local area","""along the River Nemunas"" near Kaunas (coordinate based on Kaunas)"
"823546","occ","","","90733","Protosqualus glickmani","species","151818","","Protosqualus glickmani","species","151818","Early Campanian","","83.5","70.6","30535","22.900000","55.099998","LT","","","based on nearby landmark","minutes","local area","coordinate based on Skirsnemune"
"828504","occ","","","91316","Squatina sp.","genus","34570","","Squatina","genus","34570","Late Paleocene","Early Eocene","58.7","48.6","30711","71.266670","26.066668","IN","","","stated in text","minutes","","40 km NNW of Barmer, and 13 km NW of Barakha"
"828505","occ","","","91316","Ginglymostoma sp.","genus","34584","","Ginglymostoma","genus","34584","Late Paleocene","Early Eocene","58.7","48.6","30711","71.266670","26.066668","IN","","","stated in text","minutes","","40 km NNW of Barmer, and 13 km NW of Barakha"
"828509","occ","","","91316","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Late Paleocene","Early Eocene","58.7","48.6","30711","71.266670","26.066668","IN","","","stated in text","minutes","","40 km NNW of Barmer, and 13 km NW of Barakha"
"828510","occ","","","91316","Myliobatidae indet.","family","80577","","Myliobatidae","family","80577","Late Paleocene","Early Eocene","58.7","48.6","30711","71.266670","26.066668","IN","","","stated in text","minutes","","40 km NNW of Barmer, and 13 km NW of Barakha"
"828619","occ","","","91329","Myliobatis aquila","species","153955","","Myliobatis aquila","species","153954","Pliocene","","5.333","2.588","30717","1.988889","41.779446","ES","","","estimated from map","seconds","",""
"828620","occ","","","91329","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Pliocene","","5.333","2.588","30717","1.988889","41.779446","ES","","","estimated from map","seconds","",""
"828621","occ","","","91329","Pteromylaeus bovinus","species","153957","","Pteromylaeus bovinus","species","153956","Pliocene","","5.333","2.588","30717","1.988889","41.779446","ES","","","estimated from map","seconds","",""
"828622","occ","","","91329","Pteromylaeus sp.","genus","83121","","Pteromylaeus","genus","83121","Pliocene","","5.333","2.588","30717","1.988889","41.779446","ES","","","estimated from map","seconds","",""
"828624","occ","","","52564","Myliobatidae indet.","family","80577","","Myliobatidae","family","80577","Danian","","66","61.6","30718","169.965836","-46.257500","NZ","Otago","","stated in text","seconds","outcrop","Mitchells Rocks, Wangaloa, South Otago, South Island, New Zealand. NZMS 260 H46/768337"
"828632","occ","","","65135","Dasyatis jaekeli","species","153969","recombined as","Trygon jaekeli","species","153968","Late Eocene","","37.2","33.9","30719","22.600000","46.782780","RO","","","estimated from map","seconds","",""
"828672","occ","","","55239","Trygon muricata","species","153985","recombined as","Trygon (Taeniura) muricata","species","153982","Lutetian","","47.8","41.3","30721","11.210000","45.578609","IT","","","based on nearby landmark","seconds","","Coordinates for village of Bolca, 2 km Southwest of Pesciara locality"
"828673","occ","","","55239","Trygon dezignii","species","68426","species not entered","Trygon","genus","68426","Lutetian","","47.8","41.3","30721","11.210000","45.578609","IT","","","based on nearby landmark","seconds","","Coordinates for village of Bolca, 2 km Southwest of Pesciara locality"
"828674","occ","","","55239","Urolophus crassicaudula","species","34747","species not entered","Urolophus","genus","34747","Lutetian","","47.8","41.3","30721","11.210000","45.578609","IT","","","based on nearby landmark","seconds","","Coordinates for village of Bolca, 2 km Southwest of Pesciara locality"
"828675","occ","","","55239","n. gen. Promyliobatis n. sp. gazolae","species","153995","","Promyliobatis gazolae","species","153994","Lutetian","","47.8","41.3","30721","11.210000","45.578609","IT","","","based on nearby landmark","seconds","","Coordinates for village of Bolca, 2 km Southwest of Pesciara locality"
"828678","occ","","","55239","Galeus n. sp. cuvieri","species","154000","","Galeus cuvieri","species","154000","Lutetian","","47.8","41.3","30721","11.210000","45.578609","IT","","","based on nearby landmark","seconds","","Coordinates for village of Bolca, 2 km Southwest of Pesciara locality"
"828680","occ","","","91339","Carcharias aff. atlasi","species","154018","recombined as","Synodontaspis atlasi","species","154017","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828681","occ","","","91339","Chiloscyllium aff. meraense","species","154020","","Chiloscyllium meraense","species","154020","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828682","occ","","","91339","Hemiscyllium sp.","genus","34585","","Hemiscyllium","genus","34585","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828683","occ","","","91339","Squatiscyllium sp.","genus","34597","","Squatiscyllium","genus","34597","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828684","occ","","","91339","Ginglymostoma aff. angolense","species","154021","","Ginglymostoma angolense","species","154021","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828685","occ","","","91339","Nebrius obliquus","species","154022","","Nebrius obliquus","species","154022","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828686","occ","","","91339","Protoginglymostoma sp.","genus","34595","","Protoginglymostoma","genus","34595","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828687","occ","","","91339","Rhizoprionodon sp.","genus","34662","","Rhizoprionodon","genus","34662","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828697","occ","","","91339","Garabatis sp.","genus","154042","","Garabatis","genus","154042","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828698","occ","","","91339","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828699","occ","","","91339","Leidybatis sp.","genus","154043","","Leidybatis","genus","154043","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828700","occ","","","91339","Eomobula aff. stehmanni","species","154044","","Eomobula stehmanni","species","154044","Lutetian","","47.8","41.3","30724","-6.310833","31.415001","MA","","","estimated from map","seconds","","near (north of) El-Kelaa M’Gouna"
"828750","occ","","","65939","Pristis n. sp. lanceolatus","species","154046","","Pristis lanceolatus","species","154046","MN 9","","11.1","9.7","30731","-9.102778","38.779446","PT","","","estimated from map","seconds","",""
"828755","occ","","","91355","Raja n. sp. praeclavata","species","154051","","Raja praeclavata","species","154051","Tortonian","","11.62","7.246","30731","-9.234722","38.645279","PT","","","estimated from map","seconds","",""
"828758","occ","","","65939","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","MN 9","","11.1","9.7","30731","-9.102778","38.779446","PT","","","estimated from map","seconds","",""
"828759","occ","","","65939","Myliobatis faujasi","species","154054","","Myliobatis faujasi","species","154054","MN 9","","11.1","9.7","30731","-9.102778","38.779446","PT","","","estimated from map","seconds","",""
"828760","occ","","","91355","Rhinoptera sp.","genus","34745","","Rhinoptera","genus","34745","Tortonian","","11.62","7.246","30731","-9.234722","38.645279","PT","","","estimated from map","seconds","",""
"828761","occ","","","91356","Myliobatis dixoni","species","132628","","Myliobatis dixoni","species","132628","Paleocene","","66","56","30732","-34.846668","-7.882222","BR","","","stated in text","seconds","",""
"828762","occ","","","91357","Negaprion eurybathrodon","species","83201","","Negaprion eurybathrodon","species","83200","Middle Miocene","","15.97","11.608","30733","-84.532776","9.520000","CR","","","estimated from map","seconds","",""
"828763","occ","","","91357","Carcharhinus priscus","species","280327","","Carcharhinus priscus","species","280327","Middle Miocene","","15.97","11.608","30733","-84.532776","9.520000","CR","","","estimated from map","seconds","",""
"828764","occ","","","91357","Carcharhinus obscurus","species","83194","","Carcharhinus obscurus","species","83193","Middle Miocene","","15.97","11.608","30733","-84.532776","9.520000","CR","","","estimated from map","seconds","",""
"828765","occ","","","91357","Scoliodon taxandriae","species","100438","species not entered","Scoliodon","genus","100438","Middle Miocene","","15.97","11.608","30733","-84.532776","9.520000","CR","","","estimated from map","seconds","",""
"828766","occ","","","91357","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Middle Miocene","","15.97","11.608","30733","-84.532776","9.520000","CR","","","estimated from map","seconds","",""
"828767","occ","","","91357","Rhinoptera sp.","genus","34745","","Rhinoptera","genus","34745","Middle Miocene","","15.97","11.608","30733","-84.532776","9.520000","CR","","","estimated from map","seconds","",""
"828768","occ","","","91357","Aetobatus arcuatus","species","80582","","Aetobatus arcuatus","species","80582","Middle Miocene","","15.97","11.608","30733","-84.532776","9.520000","CR","","","estimated from map","seconds","",""
"828776","occ","","","91361","n. gen. Eomobula n. sp. stehmanni","species","154044","","Eomobula stehmanni","species","154044","Ypresian","","56","47.8","30737","4.443889","51.156666","BE","Antwerpen","","estimated from map","seconds","",""
"828778","occ","","","35132","Archaeomanta n. sp. priemi","species","154065","","Archaeomanta priemi","species","154065","Ypresian","","56","47.8","30739","-6.566667","32.866669","MA","Oued Zem","","based on political unit","minutes","outcrop",""
"828779","occ","","","71234","Eotorpedo hilgendorfi","species","154070","","Eotorpedo hilgendorfi","species","154068","Thanetian","","59.2","56","30740","-5.850000","34.316666","MA","","","based on nearby landmark","minutes","hand sample","coordinates based on village of Ouled Bou Ali, aka Oulad Bouali in the Grand Daoui area of the Ouled Abdoun basin"
"828780","occ","","","71233","Eotorpedo hilgendorfi","species","154070","","Eotorpedo hilgendorfi","species","154068","Ypresian","","56","47.8","30740","-5.850000","34.316666","MA","","","based on nearby landmark","minutes","hand sample","coordinates based on village of Ouled Bou Ali, aka Oulad Bouali in the Grand Daoui area of the Ouled Abdoun basin"
"828781","occ","","","91362","Eotorpedo zennaroi","species","154071","","Eotorpedo zennaroi","species","154071","Danian","","66","61.6","30740","-8.983333","31.116667","MA","","","estimated from map","minutes","",""
"829171","occ","","","91413","Pristis n. sp. atlanticus","species","154369","","Pristis atlanticus","species","154369","Tortonian","","11.62","7.246","30781","-9.119722","38.749722","PT","","","estimated from map","seconds","",""
"829293","occ","","","91445","Selachii indet.","unranked clade","80574","","Selachii","unranked clade","80574","Bathonian","","168.3","166.1","30801","14.983333","53.816666","LU","","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Kby 1/37 drill core, Kby, S of the city of Kamie Pomorski, near Golczewo, E of Wolin, NW Poland. LAT/LONG: estimated based on Golczewo, Poland."
"829298","occ","","","91447","Pseudospinax ? sp.","genus","154886","","Pseudospinax","genus","154886","Late Callovian","","164.7","161.2","30801","14.983333","53.816666","LU","","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Kby 1/37 drill core, Kby, S of the city of Kamie Pomorski, near Golczewo, E of Wolin, NW Poland. LAT/LONG: estimated based on Golczewo, Poland."
"829299","occ","","","91447","Palaeobrachaelurus sp.","genus","154885","","Palaeobrachaelurus","genus","154885","Late Callovian","","164.7","161.2","30801","14.983333","53.816666","LU","","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Kby 1/37 drill core, Kby, S of the city of Kamie Pomorski, near Golczewo, E of Wolin, NW Poland. LAT/LONG: estimated based on Golczewo, Poland."
"829304","occ","","","91447","Squalogaleus sp.","genus","34561","","Squalogaleus","genus","34561","Late Callovian","","164.7","161.2","30801","14.983333","53.816666","LU","","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Kby 1/37 drill core, Kby, S of the city of Kamie Pomorski, near Golczewo, E of Wolin, NW Poland. LAT/LONG: estimated based on Golczewo, Poland."
"829307","occ","","","91449","Palaeoscyllium tenuidens","species","154891","","Palaeoscyllium tenuidens","species","154891","Bathonian","","168.3","166.1","30802","-0.100000","51.849998","UK","England","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Watton Cliff, Dorset, England, United Kingdom.  LAT/LONG: estimated based on Watton, England."
"829309","occ","","","91450","Eypea leesi","species","154895","","Eypea leesi","species","154895","Bathonian","","168.3","166.1","30802","-0.100000","51.849998","UK","England","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Watton Cliff, Dorset, England, United Kingdom.  LAT/LONG: estimated based on Watton, England."
"829310","occ","","","91450","Palaeobrachaelurus n. sp. mussetti","species","154897","","Palaeobrachaelurus mussetti","species","154897","Bathonian","","168.3","166.1","30802","-0.100000","51.849998","UK","England","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Watton Cliff, Dorset, England, United Kingdom.  LAT/LONG: estimated based on Watton, England."
"829311","occ","","","91450","Orectolobiformes indet.","order","34573","","Orectolobiformes","order","34573","Bathonian","","168.3","166.1","30802","-0.100000","51.849998","UK","England","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Watton Cliff, Dorset, England, United Kingdom.  LAT/LONG: estimated based on Watton, England."
"829312","occ","","","91450","Dorsetoscyllium n. sp. terreafullonicum","species","154901","","Dorsetoscyllium terreafullonicum","species","154901","Bathonian","","168.3","166.1","30802","-0.100000","51.849998","UK","England","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Watton Cliff, Dorset, England, United Kingdom.  LAT/LONG: estimated based on Watton, England."
"829313","occ","","","91450","Ornatoscyllium n. sp. freemani","species","154918","","Ornatoscyllium freemani","species","154918","Bathonian","","168.3","166.1","30802","-0.100000","51.849998","UK","England","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Watton Cliff, Dorset, England, United Kingdom.  LAT/LONG: estimated based on Watton, England."
"829314","occ","","","91450","Paranotidanus ? sp.","genus","154908","","Paranotidanus","genus","154908","Bathonian","","168.3","166.1","30802","-0.100000","51.849998","UK","England","","based on nearby landmark","seconds","outcrop","SPECIFIC LOCATION: Watton Cliff, Dorset, England, United Kingdom.  LAT/LONG: estimated based on Watton, England."
